File,Extension,SizeMB,Status,Error
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10400-$RVHY36A.xls,.xls,0.41,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10403-$RVHZ9LT.xls,.xls,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10406-$RVI96YK.jpg,.jpg,0.26,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10409-$RVI9QK6.xls,.xls,22.61,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10412-$RVIEXSF.xls,.xls,0.36,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10414-$RVJ1DEI.jpg,.jpg,0.09,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10417-$RVJ2US0.xls,.xls,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10420-$RVJ4VG7.xls,.xls,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10423-$RVJ94X9.jpg,.jpg,0.13,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10426-$RVJBNZJ.jpg,.jpg,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10429-$RVJIBSH.xls,.xls,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\1043-$RYG0ORP.jpg,.jpg,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10432-$RVK040O.jpg,.jpg,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10435-$RVK9OX7.jpg,.jpg,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10438-$RVKQZAN.xls,.xls,3.98,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10441-$RVKRVOR.xls,.xls,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10444-$RVKWG4S.xls,.xls,0.76,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10447-$RVKX6D7.jpg,.jpg,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10450-$RVL6H6O.doc,.doc,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10453-$RVLK37D.xls,.xls,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10456-$RVLLET2.xls,.xls,0.21,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10459-$RVLODUT.xls,.xls,0.05,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\1046-$RYGAIQU.xls,.xls,0.05,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10461-$RVLSWTH.xls,.xls,0.16,OK,
